id,name,street,postal_code,city,region,country,latitude,longitude,Monday_opens,Monday_closes,Monday_description,Tuesday_opens,Tuesday_closes,Tuesday_description,Wednesday_opens,Wednesday_closes,Wednesday_description,Thursday_opens,Thursday_closes,Thursday_description,Friday_opens,Friday_closes,Friday_description,Saturday_opens,Saturday_closes,Saturday_description,Sunday_opens,Sunday_closes,Sunday_description
15,Dittrichova,N/A,120 00,N/A,N/A,Česko,50.073719,14.416502,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
67,DOK16 – Sousedská dílna,N/A,150 00,N/A,N/A,Česko,50.0685992,14.4115619,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Dům čtení (Ruská),N/A,10000,N/A,N/A,Česko,50.072703,14.483362,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
16,Hloubětín,N/A,198 00,N/A,N/A,Česko,50.1039175,14.5345767,13:00,19:00,Běžná otevírací doba,13:00,19:00,Běžná otevírací doba,13:00,19:00,Běžná otevírací doba,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
18,Hostivař,N/A,102 00,N/A,N/A,Česko,50.049002,14.547006,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
19,Hradčany,N/A,118 00,N/A,N/A,Česko,50.088114,14.389788,12:00,17:00,Běžná otevírací doba,12:00,17:00,Běžná otevírací doba,12:00,17:00,Běžná otevírací doba,12:00,17:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Chodov,N/A,148 00,N/A,N/A,Česko,50.024191,14.491924,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,N/A,N/A,N/A,N/A,N/A,N/A
66,Jezerka,N/A,140 00,N/A,N/A,Česko,50.0579253,14.4499814,13:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,12:00,19:00,Běžná otevírací doba,09:00,16:00,Běžná otevírací doba,09:00,13:00,Běžná otevírací doba,N/A,N/A,N/A
80,Kiosek CČM,N/A,198 19,N/A,N/A,Česko,50.1073914,14.5846047,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba,09:00,21:00,Běžná otevírací doba
89,Kiosek DBK,N/A,140 00,N/A,N/A,Česko,50.0438903,14.4493061,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,20:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba,09:00,19:00,Běžná otevírací doba
